Data,Apertura,Chiusura,Minimo,Massimo,Volume
2023-01-01,189.37,175.64,133.32,207.22,2628
2023-01-02,132.07,162.47,120.08,221.61,2755
2023-01-03,199.09,126.97,108.83,176.56,1000
2023-01-04,178.99,182.5,136.43,159.51,4727
2023-01-05,164.84,184.1,93.03,217.0,1405
2023-01-06,139.34,119.23,104.71,174.23,3255
2023-01-07,121.08,171.24,90.44,207.3,3296
2023-01-08,191.96,114.55,137.25,207.82,1928
2023-01-09,117.26,168.63,103.95,247.24,4395
2023-01-10,176.66,135.73,127.35,220.85,3622
2023-01-11,110.65,161.31,100.03,185.55,4835
2023-01-12,124.23,143.57,143.29,183.03,4038
2023-01-13,198.75,185.24,122.87,249.96,2733
2023-01-14,119.6,177.61,143.21,191.18,3446
2023-01-15,173.15,150.46,100.61,200.31,4240
2023-01-16,119.0,157.56,121.92,217.01,1696
2023-01-17,101.14,118.04,102.04,197.36,2415
2023-01-18,148.16,103.16,120.3,181.42,4742
2023-01-19,181.31,198.22,121.46,184.53,3203
2023-01-20,181.15,104.29,149.02,213.03,1988
2023-01-21,105.68,108.92,132.05,185.05,1860
2023-01-22,192.58,125.2,96.87,157.72,4889
2023-01-23,166.66,122.22,130.05,247.16,4570
2023-01-24,146.76,100.78,123.64,227.81,4867
2023-01-25,179.77,182.16,91.79,175.29,4376
2023-01-26,109.52,184.84,120.54,151.15,4460
2023-01-27,161.35,171.46,118.9,194.58,4908
2023-01-28,157.38,130.67,100.03,200.36,4423
2023-01-29,133.78,112.27,100.46,199.57,1746
2023-01-30,138.18,154.52,117.49,204.28,4098
2023-01-31,143.06,141.26,124.31,185.49,1891
2023-02-01,187.44,137.48,114.85,164.14,4614
2023-02-02,130.31,155.14,135.82,185.63,1780
2023-02-03,174.56,112.51,107.96,196.87,1597
2023-02-04,123.54,106.78,127.76,234.63,4918
2023-02-05,148.8,145.62,143.79,179.18,2464
2023-02-06,104.85,138.06,90.46,194.66,2265
2023-02-07,187.09,133.7,114.15,225.42,4092
2023-02-08,100.07,118.93,98.1,206.25,1083
2023-02-09,143.5,141.5,147.34,243.89,3082
2023-02-10,127.09,139.35,145.72,204.72,2458
2023-02-11,146.72,132.27,127.87,167.07,2814
2023-02-12,140.55,194.7,101.69,173.72,2909
2023-02-13,116.7,155.04,92.27,234.96,2464
2023-02-14,131.12,199.69,128.3,191.45,3233
2023-02-15,110.21,152.0,105.28,153.74,3291
2023-02-16,189.78,176.34,132.61,233.73,3869
2023-02-17,101.92,160.35,145.26,235.36,3164
2023-02-18,174.11,145.2,124.04,171.22,1915
2023-02-19,105.7,175.82,112.7,237.73,3233
2023-02-20,151.43,121.83,138.93,204.03,2591
2023-02-21,120.1,138.32,108.74,211.54,1963
2023-02-22,176.62,103.12,112.02,235.88,4909
2023-02-23,129.92,199.53,146.16,246.45,4923
2023-02-24,142.19,160.24,114.77,236.58,4766
2023-02-25,174.28,113.42,141.89,190.39,2483
2023-02-26,190.62,174.08,104.96,224.02,1055
2023-02-27,102.79,110.95,99.95,229.89,3630
2023-02-28,131.81,155.39,91.69,236.18,2498
2023-03-01,182.61,141.29,96.12,179.36,1950
2023-03-02,168.59,102.15,135.76,160.33,4403
2023-03-03,129.91,193.07,123.71,169.43,4588
2023-03-04,130.53,160.04,114.78,211.17,2015
2023-03-05,132.53,102.16,106.1,155.85,2937
2023-03-06,177.61,123.83,119.94,160.95,3564
2023-03-07,173.43,105.52,133.16,182.38,2618
2023-03-08,126.77,195.58,125.43,194.74,1168
2023-03-09,140.55,109.89,112.45,165.99,3421
2023-03-10,114.07,117.56,110.56,162.77,2467
2023-03-11,107.93,182.25,128.25,177.1,3607
2023-03-12,149.78,107.29,124.79,164.39,4914
2023-03-13,135.97,104.61,109.05,245.36,3473
2023-03-14,191.85,164.75,119.07,200.04,1422
2023-03-15,108.38,117.8,125.56,190.01,4320
2023-03-16,141.84,103.28,91.92,175.76,3730
2023-03-17,102.44,127.67,138.97,204.31,4790
2023-03-18,109.44,122.21,127.72,221.0,4479
2023-03-19,194.82,107.88,126.91,170.81,3389
2023-03-20,169.36,182.6,140.7,218.68,2601
2023-03-21,125.65,194.84,131.27,152.52,2803
2023-03-22,186.18,151.02,111.48,151.61,1395
2023-03-23,186.53,102.6,95.96,190.58,3676
2023-03-24,197.73,169.6,112.57,236.88,3174
2023-03-25,174.24,182.5,116.41,247.3,3307
2023-03-26,160.45,143.41,103.0,224.33,4815
2023-03-27,182.74,186.67,136.39,203.04,4325
2023-03-28,149.83,197.31,132.19,190.38,4780
2023-03-29,123.46,137.69,118.38,176.08,3574
2023-03-30,129.89,176.97,105.27,205.93,3420
2023-03-31,192.0,124.2,102.42,205.72,4243
